id,timestamp,media_type,media_product_type,permalink,like_count,comments_count,reach,saved,shares,total_interactions,insights_error
18216044221261058,2023-12-13T20:01:48+0000,IMAGE,FEED,https://www.instagram.com/p/C0zk6joACAq/,45,1,95,1,0,47,
18043804897585282,2023-12-13T14:30:06+0000,IMAGE,FEED,https://www.instagram.com/p/C0y-9Giu1We/,121,3,73,2,0,126,
18314191834184839,2023-12-12T11:18:49+0000,IMAGE,FEED,https://www.instagram.com/p/C0wERQDAytO/,7,1,103,0,0,8,
18110458762345676,2023-12-10T14:18:52+0000,IMAGE,FEED,https://www.instagram.com/p/C0rPSMUOe0M/,59,0,120,0,0,59,
18030450205706541,2023-12-09T14:34:40+0000,IMAGE,FEED,https://www.instagram.com/p/C0osTHtOHC1/,81,0,137,2,0,83,
17982982916375945,2023-12-09T03:32:26+0000,IMAGE,FEED,https://www.instagram.com/p/C0nggxVs1yx/,25,0,84,0,0,25,
18015068134845043,2023-12-08T19:59:49+0000,IMAGE,FEED,https://www.instagram.com/p/C0msttLxKQA/,50,0,76,1,0,51,
17871149490019864,2023-12-08T15:32:03+0000,IMAGE,FEED,https://www.instagram.com/p/C0mOEcDutYX/,20,0,97,0,0,20,
18214032745259614,2023-12-08T12:04:57+0000,IMAGE,FEED,https://www.instagram.com/p/C0l2Xn7ulMF/,75,0,97,1,0,76,
18008043362316675,2023-12-07T19:10:18+0000,IMAGE,FEED,https://www.instagram.com/p/C0kCQJjR2y8/,132,0,150,4,0,136,
17999921093514396,2023-12-07T14:15:21+0000,IMAGE,FEED,https://www.instagram.com/p/C0jgfyjOFFF/,137,1,182,0,0,138,
17981147711391107,2023-12-07T11:25:49+0000,IMAGE,FEED,https://www.instagram.com/p/C0jNGH4u8Ow/,29,0,203,1,0,30,
18303724174132955,2023-12-06T21:07:57+0000,IMAGE,FEED,https://www.instagram.com/p/C0hq68PxOlT/,18,0,94,0,0,18,
18003226898472607,2023-12-06T00:40:04+0000,IMAGE,FEED,https://www.instagram.com/p/C0feZpFxBx4/,34,0,78,0,0,34,
18395926576058199,2023-12-05T22:40:28+0000,IMAGE,FEED,https://www.instagram.com/p/C0fQtpCRX0o/,110,0,134,0,0,110,
18001399271255713,2023-12-05T15:51:43+0000,IMAGE,FEED,https://www.instagram.com/p/C0eh75BrMPO/,21,0,97,0,0,21,
18003746576190302,2023-12-05T11:20:06+0000,IMAGE,FEED,https://www.instagram.com/p/C0eC2j2ujXb/,89,3,58,1,0,93,
18087154144394348,2023-12-04T01:31:33+0000,IMAGE,FEED,https://www.instagram.com/p/C0aatBYrp9D/,87,4,106,4,0,95,
17942655062744157,2023-12-03T14:03:46+0000,IMAGE,FEED,https://www.instagram.com/p/C0ZL_fyrNFv/,97,0,140,0,0,97,
18042259582600595,2023-12-02T15:13:46+0000,IMAGE,FEED,https://www.instagram.com/p/C0WvNQvOxMu/,89,1,125,0,0,90,
18029209378739622,2023-12-01T18:33:58+0000,IMAGE,FEED,https://www.instagram.com/p/C0UhUwYxhmF/,36,0,51,1,0,37,
17981890415565793,2023-12-01T18:25:43+0000,IMAGE,FEED,https://www.instagram.com/p/C0UgYXext_v/,66,5,60,2,0,73,
18026283292795488,2023-12-01T15:01:01+0000,IMAGE,FEED,https://www.instagram.com/p/C0UI9EnOUCG/,40,5,55,1,0,46,
18040489945595742,2023-11-30T20:27:37+0000,IMAGE,FEED,https://www.instagram.com/p/C0SJiQLxti_/,27,1,85,1,0,29,
17987870909293707,2023-11-30T16:12:26+0000,IMAGE,FEED,https://www.instagram.com/p/C0RsVS5OJdE/,20,1,68,1,0,22,
17965509320653979,2023-11-30T12:54:54+0000,IMAGE,FEED,https://www.instagram.com/p/C0RVuhWu2Zt/,19,0,54,0,0,19,
17990233511257273,2023-11-30T02:41:36+0000,IMAGE,FEED,https://www.instagram.com/p/C0QPiiqMDpk/,125,0,68,1,0,126,
18244021033215028,2023-11-28T20:42:26+0000,IMAGE,FEED,https://www.instagram.com/p/C0NBpEcxN2g/,41,0,133,2,0,43,
17890040234882441,2023-11-28T13:35:57+0000,IMAGE,FEED,https://www.instagram.com/p/C0MQ1a9ubQY/,320,2,220,1,0,323,
17990234789398117,2023-11-27T23:10:41+0000,IMAGE,FEED,https://www.instagram.com/p/C0Kt0B7xX5G/,40,0,161,0,0,40,
18035392462565097,2023-11-27T15:33:22+0000,IMAGE,FEED,https://www.instagram.com/p/C0J5egiuvzF/,37,4,62,2,0,43,
18018158476789856,2023-11-27T11:20:11+0000,IMAGE,FEED,https://www.instagram.com/p/C0JcgJ6gL3S/,86,0,49,0,0,86,
17854715319051372,2023-11-25T17:09:17+0000,IMAGE,FEED,https://www.instagram.com/p/C0E63Twrb3H/,29,1,53,0,0,30,
17965634450520814,2023-11-24T20:15:03+0000,IMAGE,FEED,https://www.instagram.com/p/C0CrU_Ox9L-/,159,4,62,2,0,165,
17989485953264939,2023-11-24T17:05:31+0000,IMAGE,FEED,https://www.instagram.com/p/C0CVowOLGh4/,72,1,71,1,0,74,
17991610967204167,2023-11-24T15:08:06+0000,IMAGE,FEED,https://www.instagram.com/p/C0CIMyuODiE/,19,0,53,0,0,19,
18362392378075602,2023-11-21T13:24:28+0000,IMAGE,FEED,https://www.instagram.com/p/Cz6N9JSAzHF/,17,1,33,0,0,18,
18077653792412370,2023-11-15T21:17:22+0000,VIDEO,REELS,https://www.instagram.com/reel/CzrnJrkPMyl/,19,0,16,0,0,19,
18095692369370640,2023-11-15T20:10:39+0000,IMAGE,FEED,https://www.instagram.com/p/Czrfq7vv3Y5/,90,1,32,1,0,92,
18031181077715728,2023-11-09T15:25:06+0000,IMAGE,FEED,https://www.instagram.com/p/CzbiOP0sOF7/,29,0,26,0,0,29,
18365003551072475,2023-11-07T14:15:23+0000,IMAGE,FEED,https://www.instagram.com/p/CzWQpx9LUjU/,72,1,28,0,0,73,
17863679270982675,2023-10-16T21:39:43+0000,IMAGE,FEED,https://www.instagram.com/p/CyeaA-4x9OC/,17,0,35,0,0,17,
17886137840936593,2023-10-15T23:15:10+0000,IMAGE,FEED,https://www.instagram.com/p/CycAJKYxoGX/,72,0,39,3,0,75,
17951259572577616,2023-10-05T12:20:22+0000,IMAGE,FEED,https://www.instagram.com/p/CyBFQgsrHiE/,26,0,35,1,0,27,
18044706322510938,2023-09-14T15:08:06+0000,IMAGE,FEED,https://www.instagram.com/p/CxLTwujOv3R/,22,0,28,1,0,23,
17978529818397569,2023-08-21T00:56:43+0000,IMAGE,FEED,https://www.instagram.com/p/CwL_P8Nxzrk/,66,1,33,4,0,71,
17984685836350738,2023-08-18T21:06:17+0000,IMAGE,FEED,https://www.instagram.com/p/CwGbSd4R3_h/,32,0,40,0,0,32,
17915021375791948,2023-08-17T20:00:26+0000,IMAGE,FEED,https://www.instagram.com/p/CwDu9TGR18l/,60,1,41,1,0,62,
17998550192011375,2023-08-17T12:25:54+0000,IMAGE,FEED,https://www.instagram.com/p/CwC68MqOeTp/,36,3,75,0,0,39,
17989541420226985,2023-08-16T21:40:55+0000,IMAGE,FEED,https://www.instagram.com/p/CwBVqWgR62W/,56,0,40,2,0,58,
18201016048268728,2023-08-16T20:01:41+0000,IMAGE,FEED,https://www.instagram.com/p/CwBKToGx9cf/,47,1,68,2,0,50,
18001594837856739,2023-08-16T15:29:54+0000,IMAGE,FEED,https://www.instagram.com/p/CwArM_LLRv-/,19,0,39,1,0,20,
18035425597526929,2023-08-16T11:21:13+0000,IMAGE,FEED,https://www.instagram.com/p/CwAOvgtOH0g/,84,3,42,3,0,90,
17999119097052929,2023-08-16T01:20:32+0000,IMAGE,FEED,https://www.instagram.com/p/Cv_KAAyM0eV/,45,2,40,0,0,47,
18257428540162350,2023-08-15T21:50:29+0000,IMAGE,FEED,https://www.instagram.com/p/Cv-x9iMRQK5/,182,5,57,2,0,189,
17990707154184531,2023-08-15T19:35:12+0000,IMAGE,FEED,https://www.instagram.com/p/Cv-iet1xw2p/,68,0,104,0,1,69,
18028647505584596,2023-08-15T15:42:52+0000,IMAGE,FEED,https://www.instagram.com/p/Cv-H5IrOdzF/,25,1,59,0,0,26,
17992391387147165,2023-08-14T15:21:44+0000,IMAGE,FEED,https://www.instagram.com/p/Cv7grctO609/,63,0,43,0,0,63,
18034260385527912,2023-08-14T14:24:43+0000,IMAGE,FEED,https://www.instagram.com/p/Cv7aJxCuVox/,26,0,32,0,0,26,
18382210237025365,2023-08-11T13:25:39+0000,IMAGE,FEED,https://www.instagram.com/p/CvzlAhouUmQ/,33,2,31,0,0,35,
